work_A,work_B,jaccardSimilarity
47311,9369,0.10586587074374125
47311,9375,0.06424916292880156
47311,9950,0.09325809325809326
47311,31218,0.13216095380029808
47311,33328,0.048817599695682494
47311,33329,0.06211890243902439
47311,35264,0.1916560779330792
47311,38126,0.2268280001890627
47311,43335,0.0690350214159738
47311,44174,0.1968171145316984
47311,45123,0.21829886851346078
47311,45635,0.08639214955592821
47311,46157,0.09104552276138068
47311,46987,0.17466910339480535
47311,2188,0.18779368375040978
47311,24043,0.03910507083787422
47311,24288,0.09731090373280943
47311,27822,0.15132577969863334
47311,31199,0.08855926899486795
47311,33863,0.09010058881256133
47311,33864,0.10057593210063656
47311,34521,0.09956896551724138
47311,38402,0.14685526954832442
47311,40117,0.036677316293929715
47311,45579,0.14011746374205922
47311,312161,0.08236093103661171
47311,47804,0.15652034604293497
47311,6383,0.12462186369298298
47311,6496,0.11978948627474434
47311,6498,0.1380291504558388
47311,6499,0.1436070063330861
47311,6503,0.07112839490685567
47311,6504,0.09917150983059231
47311,6505,0.11145249713838183
47311,6518,0.0996001230390649
47311,6525,0.1300934803451582
47311,6549,0.14186304894450616
47311,6649,0.07445747069094537
47311,77182,0.12617096018735363
47311,7939,0.02917093142272262
47311,20977,0.05065224307986001
47311,24212,0.03177043300025621
47311,24213,0.03361505954667691
47311,24214,0.0762256128064032
47311,6651,0.0847372706206551
47311,74008,0.1453069104536937
47311,8889,0.12281516752801812
47311,8895,0.12336763555395078
47311,8915,0.06924042686754552
47311,8916,0.06456456456456457
47311,8917,0.03323127949993621
47311,8919,0.11056274450797472
47311,8921,0.11712853951578821
47311,8922,0.07927172620909717
47311,8923,0.07165206508135169
47311,8925,0.07120431997990707
47311,8926,0.09966551040634292
47311,8927,0.0972946140481509
47311,30165,0.1933677863910422
47311,64417,0.20417475218964704
47311,64482,0.18555929667040777
47311,64718,0.22246684757564897
47311,64869,0.22102156185902247
47311,65089,0.22167709637046307
47311,65212,0.22880670910376882
47311,65346,0.17665104863900044
47311,65648,0.19476695739125605
47311,66437,0.22123479887745556
47311,66673,0.2174415550302075
47311,66904,0.1779120696346399
47311,66952,0.18820611738771012
47311,2187,0.16781406905119312
47311,2313,0.18340019516426326
47311,2314,0.17916025500109914
47311,46580,0.1226756965484465
52912,5323,0.2662208566781131
52912,53628,0.241853890790061
52912,75277,0.21671018276762402
52912,10353,0.0830585649238499
52912,10354,0.09926821508113268
52912,10425,0.19793205317577547
52912,10426,0.19049454078355813
52912,10428,0.17756083757781552
52912,17657,0.16915760869565216
52912,17664,0.21891515994436717
52912,18101,0.09323801012809056
52912,2054,0.1532456861133936
52912,21000,0.183184855233853
52912,2146,0.2043969849246231
52912,2228,0.20162266892710098
52912,2229,0.19557572319909244
52912,2230,0.19021345875542692
52912,2312,0.19243070362473347
52912,2319,0.18013278216209444
52912,2320,0.14506713368359603
52912,2321,0.19307855097721896
52912,2335,0.21250642013353876
52912,2336,0.2113163972286374
52912,2337,0.1998392713635146
52912,2338,0.22007528230865747
52912,2339,0.21411098236127205
52912,2340,0.20691976305869683
52912,2341,0.21655965757089352
52912,2342,0.22742801366520254
52912,2402,0.16971141117288854
52912,2403,0.23258907363420428
52912,2404,0.2000431437405623
52912,2405,0.21875
52912,2406,0.1021154763798314
52912,2407,0.19382135661517796
52912,2408,0.20555336228451113
52912,2409,0.23553408480944713
52912,2410,0.22671190623072177
52912,2411,0.22789551503203548
52912,2420,0.17697717812544855
52912,312160,0.13753012902311074
